"StockKeyLabel","AssessmentYear","Ecoregion","AdviceCategory","AssessmentKey","lineNumber","lineDescription","fishingPressure","stockSize","stockSizeStatus","fishingPressureStatus","year","status","statusicon","type"
"agn.27.nea",2019,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","13150","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Unknown","Unknown",2016,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"agn.27.nea",2019,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","13150","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Unknown","Unknown",2017,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"agn.27.nea",2019,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","13150","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Unknown","Unknown",2018,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"agn.27.nea",2019,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","13150","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Unknown","Unknown",2016,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"agn.27.nea",2019,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","13150","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Unknown","Unknown",2017,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"agn.27.nea",2019,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","13150","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Unknown","Unknown",2018,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"agn.27.nea",2019,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","13150","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Unknown","Unknown",2016,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"agn.27.nea",2019,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","13150","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Unknown","Unknown",2017,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"agn.27.nea",2019,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","13150","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Unknown","Unknown",2018,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"agn.27.nea",2019,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","13150","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Unknown","Unknown",2016,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
