WKT,fishing_category_FO,mw_fishinghours,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-40.65 62.45,-40.65 62.5,-40.6 62.5,-40.6 62.45,-40.65 62.45))",Otter,4.38,Greenland Sea,53A3,7604:120:246:3,62.475,-40.625
"POLYGON ((-35.35 64.35,-35.35 64.4,-35.3 64.4,-35.3 64.35,-35.35 64.35))",Otter,17.5958333333333,Greenland Sea,57B4,7603:245:133:3,64.375,-35.325
"POLYGON ((-31.5 65.55,-31.5 65.6,-31.45 65.6,-31.45 65.55,-31.5 65.55))",Otter,0.82,Greenland Sea,60B8,7603:351:354:4,65.575,-31.475
"POLYGON ((-39.05 63.6,-39.05 63.65,-39 63.65,-39 63.6,-39.05 63.6))",Otter,0.93,Greenland Sea,56B0,7603:239:360:1,63.625,-39.025
"POLYGON ((-30.45 66.25,-30.45 66.3,-30.4 66.3,-30.4 66.25,-30.45 66.25))",Otter,7.9458958325,Greenland Sea,61B9,7603:360:124:3,66.275,-30.425
"POLYGON ((-36.15 64.25,-36.15 64.3,-36.1 64.3,-36.1 64.25,-36.15 64.25))",Otter,0.93,Greenland Sea,57B3,7603:246:121:3,64.275,-36.125
"POLYGON ((-29.95 65.75,-29.95 65.8,-29.9 65.8,-29.9 65.75,-29.95 65.75))",Otter,6.56066,Greenland Sea,60C0,7602:459:479:3,65.775,-29.925
"POLYGON ((-40.55 62.75,-40.55 62.8,-40.5 62.8,-40.5 62.75,-40.55 62.75))",Otter,11.355,Greenland Sea,54A3,7604:120:475:3,62.775,-40.525
"POLYGON ((-35.15 62.95,-35.15 63.0,-35.1 63.0,-35.1 62.95,-35.15 62.95))",Otter,0.93,Greenland Sea,54B4,7603:225:391:3,62.975,-35.125
"POLYGON ((-29.65 65.95,-29.65 66.0,-29.6 66.0,-29.6 65.95,-29.65 65.95))",Otter,0.9,Greenland Sea,60C0,7602:459:496:3,65.975,-29.625
"POLYGON ((-38.1 63.4,-38.1 63.45,-38.05 63.45,-38.05 63.4,-38.1 63.4))",Otter,19.485,Greenland Sea,55B1,7603:238:140:2,63.425,-38.075
