WKT,csquare_area,surface_sar,subsurface_sar,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-31.45 65.55,-31.45 65.6,-31.4 65.6,-31.4 65.55,-31.45 65.55))",12.7814943100835,3.97674088309851,0.310185788881684,Greenland Sea,60B8,7603:351:354:3,65.575,-31.425
"POLYGON ((-31.5 65.55,-31.5 65.6,-31.45 65.6,-31.45 65.55,-31.5 65.55))",12.7814943100835,3.17923729136602,0.247980508726549,Greenland Sea,60B8,7603:351:354:4,65.575,-31.475
"POLYGON ((-39.4 63.25,-39.4 63.3,-39.35 63.3,-39.35 63.25,-39.4 63.25))",13.9006666216198,711.694240220727,55.5121507372167,Greenland Sea,55B0,7603:239:123:4,63.275,-39.375
"POLYGON ((-39.3 63.3,-39.3 63.35,-39.25 63.35,-39.25 63.3,-39.3 63.3))",13.87656847317,541.467684078505,42.2344793581234,Greenland Sea,55B0,7603:239:132:2,63.325,-39.275
"POLYGON ((-30.5 65.45,-30.5 65.5,-30.45 65.5,-30.45 65.45,-30.5 65.45))",12.8305953632785,43.8662628081028,3.42156849903202,Greenland Sea,59B9,7603:350:144:4,65.475,-30.475
"POLYGON ((-30 65.7,-30 65.75,-29.95 65.75,-29.95 65.7,-30 65.7))",12.7077697745986,72.9512076620582,5.69019419764054,Greenland Sea,60C0,7602:459:479:2,65.725,-29.975
"POLYGON ((-30 65.8,-30 65.85,-29.95 65.85,-29.95 65.8,-30 65.8))",12.6585716654865,8.3095049102096,0.648141382996349,Greenland Sea,60C0,7602:459:489:2,65.825,-29.975
"POLYGON ((-30.05 65.65,-30.05 65.7,-30 65.7,-30 65.65,-30.05 65.65))",12.7323543222402,106.426477819348,8.30126526990913,Greenland Sea,60B9,7603:350:360:3,65.675,-30.025
"POLYGON ((-30.6 65.5,-30.6 65.55,-30.55 65.55,-30.55 65.5,-30.6 65.5))",12.806049712863,51.0339229012995,3.98064598630136,Greenland Sea,60B9,7603:350:455:2,65.525,-30.575
"POLYGON ((-30.65 65.5,-30.65 65.55,-30.6 65.55,-30.6 65.5,-30.65 65.5))",12.806049712863,39.9319775814257,3.1146942513512,Greenland Sea,60B9,7603:350:456:1,65.525,-30.625
"POLYGON ((-39.35 63.3,-39.35 63.35,-39.3 63.35,-39.3 63.3,-39.35 63.3))",13.87656847317,560.194923206925,43.6952040101402,Greenland Sea,55B0,7603:239:133:1,63.325,-39.325
"POLYGON ((-39.15 63.4,-39.15 63.45,-39.1 63.45,-39.1 63.4,-39.15 63.4))",13.8283404917986,28.6425253596183,2.23411697805022,Greenland Sea,55B0,7603:239:141:1,63.425,-39.125
"POLYGON ((-39.55 63.25,-39.55 63.3,-39.5 63.3,-39.5 63.25,-39.55 63.25))",13.9006666216198,560.712983268889,43.7356126949733,Greenland Sea,55B0,7603:239:225:3,63.275,-39.525
"POLYGON ((-39.6 63.25,-39.6 63.3,-39.55 63.3,-39.55 63.25,-39.6 63.25))",13.9006666216198,496.303296399573,38.7116571191667,Greenland Sea,55B0,7603:239:225:4,63.275,-39.575
"POLYGON ((-39.7 63.25,-39.7 63.3,-39.65 63.3,-39.65 63.25,-39.7 63.25))",13.9006666216198,86.1742951075484,6.72159501838878,Greenland Sea,55B0,7603:239:226:4,63.275,-39.675
"POLYGON ((-39.9 63.2,-39.9 63.25,-39.85 63.25,-39.85 63.2,-39.9 63.2))",13.9247541841072,99.1971775970072,7.73737985256656,Greenland Sea,55B0,7603:239:228:2,63.225,-39.875
"POLYGON ((-40.45 62.15,-40.45 62.2,-40.4 62.2,-40.4 62.15,-40.45 62.15))",14.4281152242855,288.70939153782,22.51933253995,Greenland Sea,53A3,7604:120:114:3,62.175,-40.425
"POLYGON ((-40.4 62.3,-40.4 62.35,-40.35 62.35,-40.35 62.3,-40.4 62.3))",14.356499236818,3956.04410646376,308.571440304173,Greenland Sea,53A3,7604:120:133:2,62.325,-40.375
"POLYGON ((-40.4 62.35,-40.4 62.4,-40.35 62.4,-40.35 62.35,-40.4 62.35))",14.3326053505503,1664.26106805981,129.812363308665,Greenland Sea,53A3,7604:120:133:4,62.375,-40.375
"POLYGON ((-40.45 62.4,-40.45 62.45,-40.4 62.45,-40.4 62.4,-40.45 62.4))",14.3087005493802,280.752855624967,21.8987227387475,Greenland Sea,53A3,7604:120:144:1,62.425,-40.425
"POLYGON ((-40.5 62.4,-40.5 62.45,-40.45 62.45,-40.45 62.4,-40.5 62.4))",14.3087005493802,113.701623158181,8.86872660633813,Greenland Sea,53A3,7604:120:144:2,62.425,-40.475
"POLYGON ((-30 65.6,-30 65.65,-29.95 65.65,-29.95 65.6,-30 65.6))",12.7569291736401,135.778587102533,10.5907297939976,Greenland Sea,60C0,7602:459:469:2,65.625,-29.975
"POLYGON ((-29.95 65.65,-29.95 65.7,-29.9 65.7,-29.9 65.65,-29.95 65.65))",12.7323543222402,275.867907557463,21.5176967894821,Greenland Sea,60C0,7602:459:469:3,65.675,-29.925
"POLYGON ((-38.55 63.4,-38.55 63.45,-38.5 63.45,-38.5 63.4,-38.55 63.4))",13.8283404917986,45.0415869168959,3.51324377951788,Greenland Sea,55B1,7603:238:245:1,63.425,-38.525
"POLYGON ((-39.45 63.25,-39.45 63.3,-39.4 63.3,-39.4 63.25,-39.45 63.25))",13.9006666216198,713.089876577912,55.6210103730771,Greenland Sea,55B0,7603:239:124:3,63.275,-39.425
